0.00,0.00
0.02,0.04
0.13,0.26
0.14,0.28
0.39,0.78
0.80,1.60
1.10,2.20
1.11,2.22
1.14,2.28
1.26,2.52
1.27,2.54
1.44,2.88
1.58,3.16
1.58,3.16
1.66,3.32
1.75,3.50
1.76,3.52
1.78,3.56
1.83,3.66
1.83,3.66
1.85,3.70
1.89,3.78
1.90,3.80
1.98,3.96
1.98,3.96
1.99,3.98
2.00,4.00
2.04,4.08
2.06,4.12
2.15,4.30
2.16,4.32
2.24,4.48
2.33,4.66
2.58,5.16
2.72,5.44
2.81,5.62
3.42,6.84
3.45,6.90
3.47,6.94
3.53,7.06
3.65,7.30
3.77,7.54
3.87,7.74
3.97,7.94
3.97,7.94
3.99,7.98
4.11,8.00
4.15,8.00
4.35,8.00
4.37,8.00
4.38,8.00
4.39,8.00
4.61,8.00
4.64,8.00
4.71,8.00
4.87,8.00
4.93,8.00
5.26,8.00
5.31,8.00
5.33,8.00
5.39,8.00
5.47,8.00
5.50,8.00
5.55,8.00
5.58,8.00
5.68,8.00
5.75,8.00
5.77,8.00
5.94,8.00
5.96,8.00
6.05,8.00
6.13,8.00
6.37,8.00
6.39,8.00
6.48,8.00
6.65,8.00
6.71,8.00
7.02,8.00
7.14,8.00
7.37,8.00
7.53,8.00
7.79,8.00
7.80,8.00
7.82,8.00
8.05,8.00
8.06,8.00
8.08,8.00
8.21,8.00
8.38,8.00
8.43,8.00
8.49,8.00
8.79,8.00
9.13,8.00
9.15,8.00
9.20,8.00
9.29,8.00
9.33,8.00
9.69,8.00
9.71,8.00
11.72,8.00
